"code","tw_num","tw_nnight","tw_nday","tw_nwday","tw_nwnig","tw_nwend","tw_users","tw_entro","tw_gini","tw_conc"
"E02000001",49045,35913,13132,26016,9271,13758,20670,9.237,0.49,0
"E02000002",83,66,17,39,10,34,43,3.329,0.413,0.062
"E02000003",193,143,50,87,35,71,91,3.608,0.487,0.099
"E02000004",104,80,24,59,16,29,53,3.581,0.411,0.043
"E02000005",113,85,28,64,19,30,35,2.355,0.627,0.258
"E02000007",122,74,48,52,33,37,45,3.08,0.535,0.099
"E02000008",121,63,58,42,44,35,34,2.886,0.57,0.085
"E02000009",58,42,16,32,13,13,33,3.2,0.356,0.058
"E02000010",157,87,70,57,36,64,55,3.146,0.579,0.089
"E02000011",204,162,42,75,24,105,121,4.556,0.33,0.014
"E02000012",118,66,52,51,22,45,49,3.063,0.532,0.107
"E02000013",127,94,33,59,25,43,41,2.78,0.6,0.139
"E02000014",190,119,71,59,39,92,47,2.675,0.641,0.2
"E02000015",81,58,23,33,16,32,32,2.514,0.546,0.211
"E02000016",383,243,140,155,102,126,154,4.347,0.517,0.029
"E02000017",94,67,27,53,19,22,82,4.355,0.114,0.014
"E02000018",159,103,56,58,41,60,89,4.218,0.352,0.02
"E02000019",192,109,83,69,58,65,73,3.567,0.54,0.059
"E02000020",454,284,170,177,132,145,134,3.957,0.619,0.041
"E02000021",150,112,38,66,30,54,41,2.314,0.683,0.231
"E02000022",236,131,105,98,61,77,89,3.472,0.571,0.087
"E02000023",186,139,47,90,39,57,79,3.55,0.522,0.072
"E02000024",1239,860,379,602,253,384,196,3.226,0.785,0.156
"E02000025",183,121,62,79,47,57,78,3.649,0.513,0.054
"E02000026",116,95,21,61,14,41,47,2.903,0.55,0.143
"E02000027",377,202,175,123,116,138,61,2.998,0.714,0.089
"E02000028",615,409,206,256,144,215,106,3.049,0.761,0.121
"E02000029",538,341,197,220,148,170,108,3.226,0.707,0.138
"E02000030",816,399,417,279,289,248,111,1.988,0.827,0.443
"E02000031",419,278,141,188,97,134,131,3.845,0.601,0.064
"E02000032",148,97,51,66,30,52,51,3.169,0.571,0.077
"E02000033",250,195,55,133,39,78,85,3.644,0.574,0.053
"E02000034",208,108,100,70,74,64,34,2.094,0.738,0.293
"E02000035",637,471,166,361,104,172,147,2.973,0.737,0.172
"E02000036",168,100,68,76,62,30,72,3.589,0.509,0.057
"E02000037",120,73,47,49,36,35,77,4.038,0.313,0.03
"E02000038",433,314,119,228,78,127,137,3.723,0.62,0.079
"E02000039",293,222,71,156,48,89,158,4.641,0.395,0.018
"E02000040",314,201,113,140,80,94,125,3.839,0.553,0.07
"E02000041",200,142,58,93,33,74,90,3.706,0.499,0.068
"E02000042",1228,820,408,572,293,363,236,3.715,0.749,0.076
"E02000043",73,57,16,39,7,27,41,3.413,0.36,0.048
"E02000044",146,85,61,59,28,59,55,3.304,0.541,0.07
"E02000045",416,267,149,171,109,136,150,3.969,0.589,0.052
"E02000046",740,504,236,353,166,221,201,3.93,0.663,0.076
"E02000047",448,232,216,152,158,138,145,3.757,0.62,0.078
"E02000048",606,435,171,256,97,253,260,4.416,0.538,0.05
"E02000049",131,83,48,59,28,44,45,3.096,0.564,0.077
"E02000050",756,481,275,311,163,282,198,3.696,0.691,0.085
"E02000051",185,140,45,95,32,58,106,4.323,0.363,0.021
"E02000052",771,595,176,387,126,258,195,4.216,0.649,0.038
"E02000053",882,559,323,373,227,282,263,4.472,0.628,0.033
"E02000054",555,400,155,306,125,124,219,4.766,0.509,0.018
"E02000055",364,243,121,179,93,92,185,4.839,0.403,0.013
"E02000056",672,497,175,330,115,227,342,5.313,0.428,0.011
"E02000057",369,259,110,184,80,105,102,2.576,0.694,0.319
"E02000058",340,268,72,169,38,133,143,3.922,0.538,0.068
"E02000059",341,245,96,180,67,94,138,4.214,0.522,0.034
"E02000060",228,156,72,93,45,90,97,3.789,0.512,0.063
"E02000061",840,651,189,491,112,237,332,4.459,0.555,0.087
"E02000062",1277,1024,253,713,167,397,489,4.947,0.567,0.042
"E02000063",556,282,274,165,98,293,62,2.13,0.832,0.231
"E02000064",239,156,83,100,59,80,102,4.086,0.481,0.03
"E02000065",412,302,110,162,83,167,122,3.774,0.615,0.069
"E02000066",958,504,454,364,294,300,74,2.058,0.87,0.223
"E02000067",477,320,157,220,104,153,57,2.396,0.79,0.217
"E02000068",1023,672,351,489,270,264,98,2.374,0.843,0.213
"E02000069",59,35,24,29,15,15,25,2.662,0.488,0.114
"E02000070",131,90,41,61,29,41,20,1.997,0.694,0.201
"E02000071",378,299,79,219,62,97,26,1.059,0.864,0.627
"E02000072",306,197,109,132,69,105,67,2.914,0.7,0.129
"E02000073",327,226,101,77,62,188,22,0.697,0.879,0.772
"E02000074",184,130,54,87,42,55,35,2.371,0.698,0.183
"E02000075",138,97,41,64,31,43,91,4.35,0.271,0.016
"E02000077",541,389,152,245,124,172,51,1.837,0.839,0.379
"E02000078",83,61,22,43,9,31,33,2.934,0.495,0.098
"E02000079",859,688,171,473,117,269,259,4.461,0.626,0.035
"E02000080",341,279,62,205,43,93,112,3.587,0.609,0.079
"E02000081",220,143,77,66,48,106,77,3.503,0.544,0.09
"E02000082",258,180,78,121,59,78,51,2.457,0.705,0.255
"E02000083",452,340,112,262,76,114,124,3.642,0.641,0.087
"E02000084",247,196,51,134,31,82,121,4.38,0.424,0.02
"E02000085",181,157,24,108,16,57,34,2.493,0.671,0.171
"E02000086",274,213,61,150,43,81,64,2.761,0.699,0.176
"E02000087",215,166,49,116,33,66,108,4.098,0.438,0.042
"E02000088",127,76,51,44,40,43,37,2.674,0.623,0.141
"E02000089",145,100,45,76,32,37,23,2.216,0.679,0.163
"E02000090",457,282,175,179,117,161,158,4.314,0.565,0.026
"E02000091",403,223,180,142,129,132,78,2.29,0.765,0.334
"E02000092",159,113,46,72,33,54,101,4.346,0.312,0.02
"E02000093",165,115,50,77,35,53,69,3.354,0.534,0.084
"E02000094",306,171,135,94,83,129,67,2.764,0.718,0.143
"E02000095",346,213,133,137,99,110,93,3.639,0.623,0.054
"E02000096",441,260,181,171,144,126,68,1.664,0.817,0.506
"E02000097",296,198,98,133,68,95,45,2.63,0.731,0.12
"E02000098",160,112,48,80,36,44,73,3.728,0.466,0.049
"E02000099",185,119,66,79,48,58,79,3.825,0.476,0.043
"E02000100",555,408,147,297,109,149,247,5.055,0.453,0.011
"E02000101",246,180,66,117,43,86,135,4.298,0.409,0.039
"E02000102",123,84,39,52,20,51,64,3.536,0.439,0.068
"E02000103",452,352,100,273,62,117,133,3.626,0.643,0.08
"E02000104",292,212,80,142,58,92,171,4.673,0.374,0.02
"E02000105",196,129,67,97,48,51,87,3.811,0.496,0.044
"E02000106",216,144,72,93,52,71,120,4.406,0.382,0.02
"E02000107",309,220,89,160,51,98,105,3.861,0.572,0.045
"E02000108",148,109,39,65,27,56,50,2.928,0.585,0.146
"E02000109",13146,8894,4252,4493,2453,6200,7221,8.474,0.377,0.001
"E02000110",646,303,343,215,233,198,106,2.342,0.799,0.32
"E02000111",339,225,114,154,69,116,238,5.246,0.265,0.008
"E02000112",747,558,189,380,146,221,250,4.188,0.615,0.069
"E02000113",399,319,80,189,53,157,287,5.465,0.248,0.006
"E02000114",938,681,257,530,182,226,209,3.529,0.726,0.106
"E02000115",1167,816,351,566,249,352,329,4.269,0.668,0.057
"E02000116",566,349,217,230,149,187,261,4.707,0.486,0.041
"E02000117",309,200,109,131,82,96,92,3.526,0.625,0.06
"E02000118",185,139,46,90,35,60,115,4.304,0.347,0.03
"E02000119",976,588,388,389,297,290,311,3.741,0.637,0.191
"E02000120",554,346,208,246,137,171,238,4.492,0.523,0.049
"E02000121",297,221,76,152,51,94,117,3.785,0.558,0.072
"E02000122",256,183,73,131,56,69,115,4.14,0.479,0.034
"E02000123",840,593,247,417,174,249,288,4.643,0.584,0.034
"E02000124",1728,1312,416,897,291,540,623,5.201,0.578,0.036
"E02000125",342,225,117,145,78,119,209,4.869,0.354,0.02
"E02000126",632,454,178,319,122,191,238,4.545,0.545,0.042
"E02000127",216,100,116,61,67,88,61,2.578,0.659,0.266
"E02000128",242,183,59,128,38,76,89,3.687,0.552,0.059
"E02000130",253,196,57,144,41,68,95,4.071,0.493,0.026
"E02000131",1562,1189,373,725,259,578,664,5.828,0.495,0.008
"E02000132",1210,878,332,574,214,422,400,5.09,0.589,0.015
"E02000133",320,228,92,161,68,91,171,4.546,0.418,0.03
"E02000134",836,559,277,366,215,255,233,4.143,0.65,0.055
"E02000135",298,226,72,130,50,118,78,2.857,0.688,0.163
"E02000136",184,145,39,96,27,61,88,3.887,0.453,0.05
"E02000137",131,95,36,64,19,48,63,3.467,0.473,0.069
"E02000138",322,233,89,151,60,111,135,4.1,0.509,0.048
"E02000139",253,190,63,141,35,77,80,3.675,0.574,0.041
"E02000140",103,72,31,57,25,21,45,3.442,0.431,0.046
"E02000141",182,131,51,93,36,53,48,2.962,0.629,0.105
"E02000142",382,235,147,158,114,110,70,3.164,0.695,0.081
"E02000144",1270,901,369,618,271,381,333,4.462,0.67,0.036
"E02000145",149,108,41,71,30,48,93,4.291,0.31,0.02
"E02000146",347,225,122,170,89,88,69,2.574,0.744,0.221
"E02000147",311,211,100,162,76,73,51,2.435,0.754,0.208
"E02000148",699,555,144,388,107,204,116,2.544,0.786,0.275
"E02000149",114,85,29,54,19,41,53,3.456,0.445,0.063
"E02000150",641,392,249,253,178,210,110,2.479,0.792,0.245
"E02000151",156,72,84,40,43,73,45,2.53,0.65,0.224
"E02000152",139,86,53,60,43,36,48,2.995,0.57,0.125
"E02000153",147,114,33,51,19,77,76,3.926,0.409,0.032
"E02000154",391,249,142,148,90,153,106,3.643,0.628,0.065
"E02000155",47,29,18,26,10,11,23,2.628,0.446,0.123
"E02000156",376,259,117,172,95,109,95,3.433,0.665,0.07
"E02000157",102,74,28,48,21,33,25,2.458,0.613,0.142
"E02000158",62,40,22,23,15,24,19,2.208,0.577,0.199
"E02000159",329,207,122,134,79,116,98,3.575,0.61,0.075
"E02000160",188,118,70,67,51,70,81,3.838,0.487,0.038
"E02000161",250,131,119,76,94,80,26,1.903,0.772,0.266
"E02000162",350,225,125,148,89,113,127,3.955,0.554,0.063
"E02000163",312,223,89,137,58,117,98,3.676,0.603,0.055
"E02000165",99,60,39,47,26,26,22,2.185,0.651,0.175
"E02000166",3090,2361,729,1480,473,1137,1586,6.852,0.414,0.003
"E02000167",1477,1187,290,761,192,524,690,5.801,0.475,0.009
"E02000168",3984,2157,1827,1459,1358,1167,2034,7.13,0.409,0.002
"E02000169",629,453,176,275,118,236,355,5.475,0.376,0.008
"E02000170",347,241,106,169,75,103,136,3.948,0.549,0.058
"E02000171",610,416,194,246,131,233,226,4.415,0.57,0.038
"E02000172",1283,926,357,622,248,413,567,5.74,0.476,0.007
"E02000173",1411,1116,295,746,203,462,383,4.007,0.685,0.125
"E02000174",847,648,199,452,132,263,267,3.98,0.645,0.087
"E02000175",1796,1195,601,792,409,595,745,5.771,0.523,0.01
"E02000176",354,220,134,141,95,118,171,4.591,0.45,0.021
"E02000177",1733,1047,686,688,467,578,887,6.181,0.431,0.007
"E02000178",477,331,146,225,108,144,179,4.135,0.575,0.049
"E02000179",676,468,208,312,151,213,271,4.867,0.526,0.017
"E02000180",1160,761,399,510,289,361,607,5.661,0.443,0.013
"E02000181",155,95,60,66,43,46,104,4.397,0.289,0.018
"E02000182",1446,1018,428,658,302,486,886,6.345,0.351,0.004
"E02000183",9792,6490,3302,4166,2190,3436,5680,8.24,0.361,0.001
"E02000184",1907,1377,530,944,375,588,805,5.698,0.525,0.019
"E02000185",797,585,212,413,138,246,273,4.453,0.604,0.038
"E02000186",15822,10392,5430,7068,3762,4992,8371,8.542,0.405,0.001
"E02000187",19161,14215,4946,9987,3509,5665,10875,8.835,0.376,0
"E02000188",5148,3995,1153,2754,826,1568,2983,7.62,0.363,0.001
"E02000189",2433,1481,952,1031,675,727,1338,6.684,0.399,0.003
"E02000190",2825,2020,805,1462,546,817,1406,6.694,0.438,0.003
"E02000191",11768,8613,3155,6195,2169,3404,6057,8.088,0.429,0.001
"E02000192",4193,3379,814,2587,574,1032,1706,6.408,0.532,0.012
"E02000193",55810,38884,16926,27178,11967,16665,23628,9.372,0.493,0
"E02000194",469,339,130,221,92,156,232,4.998,0.428,0.012
"E02000195",231,149,82,79,64,88,44,2.473,0.709,0.188
"E02000196",258,198,60,152,49,57,81,3.563,0.593,0.059
"E02000197",459,181,278,110,210,139,72,2.137,0.808,0.297
"E02000198",164,104,60,65,40,59,49,2.48,0.655,0.255
"E02000199",313,235,78,166,58,89,51,2.865,0.7,0.11
"E02000200",210,161,49,108,34,68,113,4.434,0.369,0.017
"E02000201",186,146,40,92,28,66,94,4.199,0.401,0.022
"E02000202",152,95,57,64,35,53,78,3.937,0.416,0.032
"E02000203",839,627,212,335,149,355,455,5.604,0.403,0.01
