"VALUE","freq","VAR","PC"
"Friday",235806,"TIMESTAMP_WEEKDAY",14.228
"Monday",210764,"TIMESTAMP_WEEKDAY",12.717
"Saturday",276729,"TIMESTAMP_WEEKDAY",16.697
"Sunday",253501,"TIMESTAMP_WEEKDAY",15.295
"Thursday",237715,"TIMESTAMP_WEEKDAY",14.343
"Tuesday",229431,"TIMESTAMP_WEEKDAY",13.843
"Wednesday",213438,"TIMESTAMP_WEEKDAY",12.878
"April",194732,"TIMESTAMP_MONTH",11.749
"August",57733,"TIMESTAMP_MONTH",3.483
"December",185849,"TIMESTAMP_MONTH",11.213
"February",192470,"TIMESTAMP_MONTH",11.613
"January",57336,"TIMESTAMP_MONTH",3.459
"July",57888,"TIMESTAMP_MONTH",3.493
"June",57559,"TIMESTAMP_MONTH",3.473
"March",199321,"TIMESTAMP_MONTH",12.026
"May",166177,"TIMESTAMP_MONTH",10.026
"November",203623,"TIMESTAMP_MONTH",12.286
"October",230561,"TIMESTAMP_MONTH",13.911
"September",54135,"TIMESTAMP_MONTH",3.266
"00",45171,"TIMESTAMP_H",2.725
"01",24980,"TIMESTAMP_H",1.507
"02",13812,"TIMESTAMP_H",0.833
"03",8613,"TIMESTAMP_H",0.52
"04",7088,"TIMESTAMP_H",0.428
"05",8762,"TIMESTAMP_H",0.529
"06",17732,"TIMESTAMP_H",1.07
"07",35198,"TIMESTAMP_H",2.124
"08",57265,"TIMESTAMP_H",3.455
"09",69961,"TIMESTAMP_H",4.221
"10",78606,"TIMESTAMP_H",4.743
"11",85587,"TIMESTAMP_H",5.164
"12",97090,"TIMESTAMP_H",5.858
"13",102898,"TIMESTAMP_H",6.208
"14",102780,"TIMESTAMP_H",6.201
"15",98919,"TIMESTAMP_H",5.968
"16",100755,"TIMESTAMP_H",6.079
"17",106922,"TIMESTAMP_H",6.451
"18",112870,"TIMESTAMP_H",6.81
"19",113655,"TIMESTAMP_H",6.857
"20",109722,"TIMESTAMP_H",6.62
"21",101704,"TIMESTAMP_H",6.136
"22",87435,"TIMESTAMP_H",5.275
"23",69859,"TIMESTAMP_H",4.215
"Q1",449127,"TIMESTAMP_QUARTER",27.099
"Q2",418468,"TIMESTAMP_QUARTER",25.249
"Q3",169756,"TIMESTAMP_QUARTER",10.242
"Q4",620033,"TIMESTAMP_QUARTER",37.41
"weekday",786512,"TIMESTAMP_CAT3",47.455
"weekend",530230,"TIMESTAMP_CAT3",31.992
"weeknight",340642,"TIMESTAMP_CAT3",20.553
"day",1162506,"TIMESTAMP_DAYNIGHT",70.141
"night",494878,"TIMESTAMP_DAYNIGHT",29.859
